movie_title,release_date,genre,MPAA_rating,director,character,voice-actor,revenue
The Sword in the Stone,25-Dec-63,Adventure,NA,Wolfgang Reitherman,Sir Pellinore,Alan Napier,153870834.0
Mr. Holland's Opus,29-Dec-95,Drama,PG,Stephen Herek,NA,NA,157508868.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Cody,Adam Ryen,55796728.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Doctor Mouse,Bernard Fox,55796728.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Faloo,Carla Meyer,55796728.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Francois,Ed Gilbert,55796728.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Frank,Wayne Robson,55796728.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Jake,Tristan Rogers,55796728.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Krebbs,Douglas Seale,55796728.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Marahute,Frank Welker,55796728.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Nurse Mouse,Russi Taylor,55796728.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Percival C. McLeach,George C. Scott,55796728.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Red,Peter Firth,55796728.0
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Wilbur,John Candy,55796728.0
The Preacher's Wife,13-Dec-96,Drama,PG,Penny Marshall,NA,NA,91076877.0
Sarafina!,18-Sep-92,Drama,PG-13,Darrell James Roodt,NA,NA,14841352.0
Trenchcoat,11-Mar-83,Comedy,NA,Michael Tuchner,NA,NA,11519089.0
Confessions of a Teenage Drama Queen,20-Feb-04,Comedy,PG,Sara Sugarman,NA,NA,39816568.0
Around the World in 80 Days,16-Jun-04,Adventure,PG,Frank Coraci,NA,NA,32585356.0
