,movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,director,character,voice-actor
226,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Mama Odie,Jenifer Lewis
227,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Marlon the Alligator,Emeril Lagasse
228,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Prince Naveen,Bruno Campos
229,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Ray the Firefly,Jim Cummings
230,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Tiana,Anika Noni Rose
231,The Princess and the Frog,25-Nov-09,Adventure,G,B,Ron Clements,Two Fingers,Paul Briggs
232,Billy Bathgate,1-Nov-91,Drama,R,C,,,
233,3 Ninjas Kick Back,6-May-94,Action,PG,C,,,
234,My Boyfriend's Back,6-Aug-93,,PG-13,D,,,
235,Goal! The Dream Begins,12-May-06,Drama,PG,D,,,
236,Country,29-Sep-84,Drama,,C,,,
237,Big Trouble,5-Apr-02,Comedy,PG-13,D,,,
238,People Like Us,29-Jun-12,Drama,PG-13,D,,,
239,Mars Needs Moms,11-Mar-11,Adventure,PG,C,,,
240,Angie,4-Mar-94,Comedy,R,D,,,
241,Deuce Bigalow: Male Gigolo,10-Dec-99,Comedy,R,B,,,
242,Veronica Guerin,17-Oct-03,Drama,R,D,,,
243,Max Keeble's Big Move,5-Oct-01,Comedy,PG,C,,,
244,The Scarlet Letter,13-Oct-95,Drama,R,C,,,
245,D3: The Mighty Ducks,4-Oct-96,Comedy,PG,C,,,
246,Up,29-May-09,Adventure,PG,A,,,
247,Alive,15-Jan-93,Adventure,R,B,,,
248,Can't Buy Me Love,14-Aug-87,Romantic Comedy,,C,,,
249,The Hoax,6-Apr-07,Drama,R,D,,,
250,Fantasia,13-Nov-40,Musical,G,S,full credits,Ben Ali Gator,Jim Cummings
251,Fantasia,13-Nov-40,Musical,G,S,full credits,Chernabog,Corey Burton
252,Fantasia,13-Nov-40,Musical,G,S,full credits,Hyacinth Hippo,Tress MacNeille
253,Fantasia,13-Nov-40,Musical,G,S,full credits,Madame Upanova,Tress MacNeille
254,Fantasia,13-Nov-40,Musical,G,S,full credits,Melinda,None
255,Fantasia,13-Nov-40,Musical,G,S,full credits,Yen Sid,Corey Burton
256,Crimson Tide,12-May-95,Action,R,B,,,
257,Ransom,8-Nov-96,Action,R,A,,,
258,Pretty Woman,23-Mar-90,Romantic Comedy,R,A,,,
259,Inspector Gadget,23-Jul-99,Comedy,PG,B,,,
260,Winnie the Pooh,15-Jul-11,Adventure,G,C,Stephen J. Anderson,,
261,The Tigger Movie,11-Feb-00,Adventure,G,B,,,
262,Heavy Weights,17-Feb-95,Comedy,PG,C,,,
263,What About Bob?,17-May-91,Comedy,PG,B,,,
264,Condorman,7-Aug-81,Action,,D,,,
265,The Haunted Mansion,26-Nov-03,Comedy,PG,B,,,
266,The Hitchhiker's Guide to the Galaxy,29-Apr-05,Comedy,PG,C,,,
267,Bedknobs and Broomsticks,7-Oct-71,Musical,,B,,Bear,Dal McKennon
268,Bedknobs and Broomsticks,7-Oct-71,Musical,,B,,Codfish,Robert Holt
269,Bedknobs and Broomsticks,7-Oct-71,Musical,,B,,King Leonidas,Lennie Weinrib
270,Bedknobs and Broomsticks,7-Oct-71,Musical,,B,,Secretary Bird,Lennie Weinrib
271,Pooh's Heffalump Movie,11-Feb-05,Adventure,G,C,,Lumpy the Heffalump,Kyle Stanger
272,Open Range,15-Aug-03,Western,R,B,,,
273,D.O.A.,18-Mar-88,Thriller/Suspense,,C,,,
274,Meet the Deedles,27-Mar-98,Comedy,PG,D,,,
275,A Beautiful Planet,29-Apr-16,Documentary,G,D,,,
276,Sister Act,29-May-92,Comedy,PG,A,,,
277,Strange Magic,23-Jan-15,Adventure,PG,D,,,
278,The Many Adventures of Winnie the Pooh,11-Mar-77,,,D,Wolfgang Reitherman,,
279,Quiz Show,14-Sep-94,Drama,PG-13,C,,,
280,While You Were Sleeping,21-Apr-95,Romantic Comedy,PG,B,,,
281,Bedtime Stories,25-Dec-08,Comedy,PG,B,,,
282,"The Chronicles of Narnia: The Lion, t…",9-Dec-05,Adventure,PG,A,,,
283,Instinct,4-Jun-99,Drama,R,C,,,
284,Step Up,11-Aug-06,Drama,PG-13,B,,,
285,G.I. Jane,22-Aug-97,Drama,R,B,,,
286,Oscar,26-Apr-91,Comedy,PG,C,,,
287,The Parent Trap,29-Jul-98,Comedy,PG,B,,,
288,Primeval,12-Jan-07,Adventure,R,D,,,
289,The Lone Ranger,2-Jul-13,Western,PG-13,B,,,
290,"Monsters, Inc.",2-Nov-01,Adventure,G,A,,,
291,Reign of Fire,19-Feb-02,Action,PG-13,C,,,
292,Running Brave,4-Nov-83,Drama,,D,,,
293,Dinosaur,19-May-00,Adventure,PG,A,Ralph Zondag,Aladar,D. B. Sweeney
294,Dinosaur,19-May-00,Adventure,PG,A,Ralph Zondag,Baylene,Joan Plowright
295,Dinosaur,19-May-00,Adventure,PG,A,Ralph Zondag,Bruton,Peter Siragusa
296,Dinosaur,19-May-00,Adventure,PG,A,Ralph Zondag,Eema,Della Reese
297,Dinosaur,19-May-00,Adventure,PG,A,Ralph Zondag,Kron,Samuel E. Wright
298,Dinosaur,19-May-00,Adventure,PG,A,Ralph Zondag,Neera,Julianna Margulies
299,Dinosaur,19-May-00,Adventure,PG,A,Ralph Zondag,Plio,Alfre Woodard
300,Dinosaur,19-May-00,Adventure,PG,A,Ralph Zondag,Suri,Hayden Panettiere
301,Dinosaur,19-May-00,Adventure,PG,A,Ralph Zondag,Url,None
302,Dinosaur,19-May-00,Adventure,PG,A,Ralph Zondag,Yar,Ossie Davis
303,Dinosaur,19-May-00,Adventure,PG,A,Ralph Zondag,Zini,Max Casella
304,Rushmore,11-Dec-98,Black Comedy,R,C,,,
305,Freaky Friday,21-Jan-77,Comedy,,B,,,
306,The 13th Warrior,27-Aug-99,Action,R,C,,,
307,Brave,22-Jun-12,Adventure,PG,A,,,
308,Eight Below,17-Feb-06,Adventure,PG,B,,,
309,Gake no ue no Ponyo,14-Aug-09,Adventure,G,D,,,
310,Queen of Katwe,23-Sep-16,Drama,PG,D,,,
311,Straight Talk,3-Apr-92,Comedy,PG,C,,,
312,Holy Man,9-Oct-98,Comedy,PG,C,,,
313,The Sorcerer's Apprentice,14-Jul-10,Adventure,PG,C,,,
314,Stella,2-Feb-90,Drama,PG-13,C,,,
315,An American Werewolf in Paris,25-Dec-97,Horror,R,C,,,
316,The Mighty Ducks,2-Oct-92,Comedy,PG,B,,,
317,Tall Tale,24-Mar-95,Western,PG,D,,,
318,Tangled,24-Nov-10,Adventure,PG,A,Nathan Greno,Flynn Rider,Zachary Levi
319,Tangled,24-Nov-10,Adventure,PG,A,Nathan Greno,Hook Hand,Brad Garrett
320,Tangled,24-Nov-10,Adventure,PG,A,Nathan Greno,Maximus,None
321,Tangled,24-Nov-10,Adventure,PG,A,Nathan Greno,Mother Gothel,Donna Murphy
322,Tangled,24-Nov-10,Adventure,PG,A,Nathan Greno,Pascal,Frank Welker
323,Tangled,24-Nov-10,Adventure,PG,A,Nathan Greno,Rapunzel,Mandy Moore
324,Tangled,24-Nov-10,Adventure,PG,A,Nathan Greno,Stabbington Brothers,Ron Perlman
325,Ed Wood,30-Sep-94,Comedy,R,D,,,
326,The Jerky Boys,3-Feb-95,Comedy,R,D,,,
327,The Rich Man's Wife,13-Sep-96,Thriller/Suspense,R,D,,,
328,"20,000 Leagues Under the Sea",23-Dec-54,Adventure,,S,,,
329,Super Mario Bros.,28-May-93,Action,PG,C,,,
330,The Proposal,19-Jun-09,Romantic Comedy,PG-13,B,,,
331,Race to Witch Mountain,13-Mar-09,Adventure,PG,B,,,
332,The Adventures of Huck Finn,2-Apr-93,Adventure,PG,C,,,
333,Jefferson in Paris,31-Mar-95,Drama,PG-13,D,,,
334,The Jungle Book,15-Apr-16,Adventure,PG,A,,,
335,The Jungle Book,18-Oct-67,Musical,Not Rated,S,,,
336,Sky High,29-Jul-05,Adventure,PG,B,,,
337,Toy Story 2,19-Nov-99,Adventure,G,A,,,
338,The Rescuers,22-Jun-77,Adventure,,B,Wolfgang Reitherman,Bernard,Bob Newheart
339,The Rescuers,22-Jun-77,Adventure,,B,Wolfgang Reitherman,Brutus and Nero,Candy Candido
340,The Rescuers,22-Jun-77,Adventure,,B,Wolfgang Reitherman,Chair Mouse,Bernard Fox
341,The Rescuers,22-Jun-77,Adventure,,B,Wolfgang Reitherman,Digger the Mole,Dub Taylor
342,The Rescuers,22-Jun-77,Adventure,,B,Wolfgang Reitherman,Ellie Mae,Jeanette Nolan
343,The Rescuers,22-Jun-77,Adventure,,B,Wolfgang Reitherman,Evinrude,Jimmy MacDonald
344,The Rescuers,22-Jun-77,Adventure,,B,Wolfgang Reitherman,Gramps,Larry Clemmons
345,The Rescuers,22-Jun-77,Adventure,,B,Wolfgang Reitherman,Luke,Pat Buttram
346,The Rescuers,22-Jun-77,Adventure,,B,Wolfgang Reitherman,Madame Medusa,Geraldine Page
347,The Rescuers,22-Jun-77,Adventure,,B,Wolfgang Reitherman,Miss Bianca,Eva Gabor
348,The Rescuers,22-Jun-77,Adventure,,B,Wolfgang Reitherman,Mr. Snoops,Joe Flynn
